Satellite Name,Orbital Location,Beam Name,Type,Frequency Range (MHz),EIRP (dBW) / G/T (dB/K),Service Area 1,Service Area 2,Service Area 3,Service Area 4,Service Area 5,Service Area 6,Band,Bandwidth Capacity (MHz),Modulation,FEC,Integrated
EUTELSAT 113 WEST A,-113,CHU,Receive,14000.0 - 14500.0,0.9 (G/T),South America,,,,,,Ku-Band,36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CHD,Transmit,11700.0 - 12200.0,43.1 (EIRP),South America,,,,,,"X-Band, Ku-Band",36,QPSK,0.75,1
EUTELSAT 113 WEST A,-113,CHD,Transmit,11700.0 - 12200.0,41.2 (EIRP),South America,,,,,,"X-Band, Ku-Band",36,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,CRH,Receive,5925.0 - 6425.0,5.8 (G/T),Canada,Continental United States,Alaska,Mexico,Galapagos Islands,South America,C-Band,72,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,CRV,Receive,5925.0 - 6425.0,5.8 (G/T),Canada,Continental United States,Alaska,Mexico,Galapagos Islands,South America,C-Band,72,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,CTH,Transmit,3700.0 - 4200.0,47.1 (EIRP),Canada,Continental United States,Alaska,Mexico,Galapagos Islands,South America,C-Band,72,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,CTV,Transmit,3700.0 - 4200.0,47.1 (EIRP),Canada,Continental United States,Alaska,Mexico,Galapagos Islands,South America,C-Band,72,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU1R,Receive,14000.0 - 14500.0,10.8 (G/T),Mexico,Southern United States,,,,,Ku-Band,54,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU1T,Transmit,11700.0 - 12200.0,55.3 (EIRP),Mexico,Southern United States,,,,,"X-Band, Ku-Band",54,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU3R,Receive,14000.0 - 14500.0,9.1 (G/T),South America,,,,,,Ku-Band,36,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU3T,Transmit,11700.0 - 12200.0,54.0 (EIRP),South America,,,,,,"X-Band, Ku-Band",36,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU4R,Receive,14000.0 - 14500.0,8.4 (G/T),Canada,Continental United States,Alaska,Hawaii,,,Ku-Band,54,QPSK,0.75,1
EUTELSAT 115 WEST B,-114.9,KU4T,Transmit,11700.0 - 12200.0,53.4 (EIRP),Canada,Continental United States,Alaska,Hawaii,,,"X-Band, Ku-Band",54,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F1H1,Receive,13750.0 - 14000.0,7.6 (G/T),Continental United States,,,,,,Ku-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F1H2,Receive,14000.0 - 14500.0,7.6 (G/T),Continental United States,,,,,,Ku-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F1V1,Receive,13750.0 - 14000.0,7.6 (G/T),Continental United States,,,,,,Ku-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F1V2,Receive,14000.0 - 14500.0,7.6 (G/T),Continental United States,,,,,,Ku-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,TCH,Receive,13750.0 - 13755.0,-5.5 (G/T),Global,,,,,,Ku-Band,0.6,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F2H1,Transmit,10950.0 - 11200.0,51.5 (EIRP),Continental United States,,,,,,X-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F2H2,Transmit,11450.0 - 11700.0,51.5 (EIRP),Continental United States,,,,,,X-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F2H3,Transmit,12500.0 - 12750.0,51.5 (EIRP),Continental United States,,,,,,Ku-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F2V1,Transmit,10950.0 - 11200.0,51.5 (EIRP),Continental United States,,,,,,X-Band,72,QPSK,0.75,1
EUTELSAT 139 WEST A,-139,F2V2,Transmit,11450.0 - 11700.0,51.5 (EIRP),Continental United States,,,,,,X-Band,72,QPSK,0.75,1
EUTELSAT 172B,172,OAUL,Receive,27500.0 - 29150.0,19.5 (G/T),Hawaii,Continental United States,,,,,Ka-Band,32,QPSK,0.5,1
EUTELSAT 172B,172,OAUR,Receive,27500.0 - 29150.0,19.5 (G/T),Hawaii,Continental United States,,,,,Ka-Band,32,QPSK,0.5,1
EUTELSAT 172B,172,NUH2,Receive,14000.0 - 14500.0,1.52 (G/T),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,CUH,Receive,5925.0 - 6425.0,0.58 (G/T),Pacific Ocean,,,,,,C-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,CUV,Receive,5925.0 - 6425.0,0.58 (G/T),Pacific Ocean,,,,,,C-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NUV2,Receive,14000.0 - 14500.0,1.52 (G/T),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUH2,Receive,14000.0 - 14500.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NUV1,Receive,13750.0 - 14000.0,1.52 (G/T),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NUH1,Receive,13750.0 - 14000.0,1.52 (G/T),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUH1,Receive,13750.0 - 14000.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUH3,Receive,13000.0 - 13250.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUV1,Receive,13750.0 - 14000.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUV2,Receive,14000.0 - 14500.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,AUV3,Receive,13000.0 - 13250.0,11.11 (G/T),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WUH1,Receive,13750.0 - 14000.0,2.18 (G/T),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WUH2,Receive,14000.0 - 14500.0,2.18 (G/T),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WUV1,Receive,13750.0 - 14000.0,2.18 (G/T),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WUV2,Receive,14000.0 - 14500.0,2.18 (G/T),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EUH1,Receive,13750.0 - 14000.0,2.1 (G/T),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EUH2,Receive,14000.0 - 14500.0,2.1 (G/T),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EUV1,Receive,13750.0 - 14000.0,2.1 (G/T),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EUV2,Receive,14000.0 - 14500.0,2.1 (G/T),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SUH1,Receive,13750.0 - 14000.0,7.77 (G/T),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SUH2,Receive,14000.0 - 14500.0,7.77 (G/T),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SUV1,Receive,13750.0 - 14000.0,7.77 (G/T),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SUV2,Receive,14000.0 - 14500.0,7.77 (G/T),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,HUH2,Receive,14000.0 - 14500.0,13.75 (G/T),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,TUL,Receive,14499.5 - 14500.0,-7.5 (G/T),Pacific Ocean,,,,,,Ku-Band,0.5,BPSK,0.5,1
EUTELSAT 172B,172,TUR,Receive,14499.5 - 14500.0,-7.5 (G/T),Pacific Ocean,,,,,,Ku-Band,0.5,BPSK,0.5,1
EUTELSAT 172B,172,TULO,Receive,14499.5 - 14500.0,-25.8 (G/T),Pacific Ocean,,,,,,Ku-Band,0.5,BPSK,0.5,1
EUTELSAT 172B,172,TURO,Receive,14499.5 - 14500.0,-25.8 (G/T),Pacific Ocean,,,,,,Ku-Band,0.5,BPSK,0.5,1
EUTELSAT 172B,172,OADR,Transmit,18400.0 - 19200.0,62.5 (EIRP),Hawaii,Continental United States,,,,,Ku-Band,32,QPSK,0.5,1
EUTELSAT 172B,172,CDH,Transmit,3700.0 - 4200.0,45.65 (EIRP),Pacific Ocean,,,,,,C-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,CDV,Transmit,3700.0 - 4200.0,45.65 (EIRP),Pacific Ocean,,,,,,C-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADH2,Transmit,11200.0 - 11450.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADH4,Transmit,12500.0 - 12750.0,55.87 (EIRP),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADV2,Transmit,11200.0 - 11450.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADV4,Transmit,12500.0 - 12750.0,55.87 (EIRP),North East Asia,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDH1,Transmit,10950.0 - 11200.0,47.32 (EIRP),North Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDH3,Transmit,11450.0 - 11700.0,47.32 (EIRP),North Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDV1,Transmit,10950.0 - 11200.0,47.32 (EIRP),North Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDV3,Transmit,11450.0 - 11700.0,47.32 (EIRP),North Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDH4,Transmit,12200.0 - 12750.0,51.96 (EIRP),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDV4,Transmit,12200.0 - 12750.0,51.96 (EIRP),South Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDH3,Transmit,11450.0 - 11700.0,48.11 (EIRP),South West Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDV3,Transmit,11450.0 - 11700.0,48.11 (EIRP),South West Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDH3,Transmit,11450.0 - 11700.0,48.47 (EIRP),South East Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDV3,Transmit,11450.0 - 11700.0,48.47 (EIRP),South East Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,HDV4,Transmit,12200.0 - 12750.0,54.2 (EIRP),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDH4,Transmit,12200.0 - 12750.0,47.32 (EIRP),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,NDV4,Transmit,12200.0 - 12750.0,47.32 (EIRP),North Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADH1,Transmit,10950.0 - 11200.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADV1,Transmit,10950.0 - 11200.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADH3,Transmit,11450.0 - 11700.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,ADV3,Transmit,11450.0 - 11700.0,55.87 (EIRP),North East Asia,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDH1,Transmit,10950.0 - 11200.0,51.96 (EIRP),South Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDV1,Transmit,10950.0 - 11200.0,51.96 (EIRP),South Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDH3,Transmit,11450.0 - 11700.0,51.96 (EIRP),South Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,SDV3,Transmit,11450.0 - 11700.0,51.96 (EIRP),South Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDH1,Transmit,10950.0 - 11200.0,48.11 (EIRP),South West Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDV1,Transmit,10950.0 - 11200.0,48.11 (EIRP),South West Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDH4,Transmit,12500.0 - 12750.0,48.11 (EIRP),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,WDV4,Transmit,12500.0 - 12750.0,48.11 (EIRP),South West Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDH1,Transmit,10950.0 - 11200.0,48.47 (EIRP),South East Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDV1,Transmit,10950.0 - 11200.0,48.47 (EIRP),South East Pacific,,,,,,X-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDH4,Transmit,12200.0 - 12500.0,48.47 (EIRP),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,EDV4,Transmit,12200.0 - 12500.0,48.47 (EIRP),South East Pacific,,,,,,Ku-Band,36,QPSK,0.5,1
EUTELSAT 172B,172,OABR,Transmit,19201.9 - 19202.1,20.0 (EIRP),Pacific Ocean,,,,,,Ku-Band,0.2,BPSK,0.5,1
EUTELSAT 172B,172,TDH,Transmit,12249.5 - 12250.5,19.3 (EIRP),Pacific Ocean,,,,,,Ku-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,TDV,Transmit,11200.0 - 11201.0,19.3 (EIRP),Pacific Ocean,,,,,,X-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,KBL1,Transmit,11200.0 - 11201.0,22.7 (EIRP),Pacific Ocean,,,,,,X-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,KBR2,Transmit,12249.5 - 12250.5,22.7 (EIRP),Pacific Ocean,,,,,,Ku-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,KBL2,Transmit,12249.5 - 12250.5,22.7 (EIRP),Pacific Ocean,,,,,,Ku-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,KBR1,Transmit,11200.0 - 11201.0,22.7 (EIRP),Pacific Ocean,,,,,,X-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,CBH,Transmit,4198.85 - 4198.95,13.3 (EIRP),Pacific Ocean,,,,,,C-Band,0.1,BPSK,0.5,1
EUTELSAT 172B,172,CBV,Transmit,4199.85 - 4199.95,13.3 (EIRP),Pacific Ocean,,,,,,C-Band,0.1,BPSK,0.5,1
EUTELSAT 172B,172,KBH,Transmit,12249.5 - 12250.5,19.3 (EIRP),Pacific Ocean,,,,,,Ku-Band,1,BPSK,0.5,1
EUTELSAT 172B,172,KBV,Transmit,11200.0 - 11201.0,19.3 (EIRP),Pacific Ocean,,,,,,X-Band,1,BPSK,0.5,1
EUTELSAT 65 W A,-65,SAUV,Receive,12750.0 - 13250.0,7.1 (G/T),South America,,,,,,Ku-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BUH,Receive,12750.0 - 13250.0,6.4 (G/T),Brazil,,,,,,Ku-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BUV,Receive,12750.0 - 13250.0,6.4 (G/T),Brazil,,,,,,Ku-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,SADH,Transmit,10700.0 - 10950.0,50.4 (EIRP),South America,,,,,,X-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BDH,Transmit,10700.0 - 10950.0,51.9 (EIRP),Brazil,,,,,,X-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BDV,Transmit,10700.0 - 10950.0,51.9 (EIRP),Brazil,,,,,,X-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,SAD2,Transmit,11200.0 - 11450.0,50.4 (EIRP),South America,,,,,,X-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BDH2,Transmit,11200.0 - 11450.0,51.9 (EIRP),Brazil,,,,,,X-Band,36,QPSK,0.806,1
EUTELSAT 65 W A,-65,BDV2,Transmit,11200.0 - 11450.0,51.9 (EIRP),Brazil,,,,,,X-Band,36,QPSK,0.806,1
Eutelsat 8 West B,-8,UUH1,Receive,13750.0 - 14000.0,10.1 (G/T),North America,South America,,,,,Ku-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UUH2,Receive,14000.0 - 14500.0,10.1 (G/T),North America,South America,,,,,Ku-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UUV1,Receive,13750.0 - 14000.0,10.1 (G/T),North America,South America,,,,,Ku-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UUV2,Receive,14000.0 - 14500.0,10.1 (G/T),North America,South America,,,,,Ku-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UUF2,Receive,13750.0 - 13755.0,-10.1 (G/T),Global,,,,,,Ku-Band,1,BPSK,0.5,1
Eutelsat 8 West B,-8,UUF3,Receive,14245.0 - 14500.0,-10.1 (G/T),Global,,,,,,Ku-Band,255,8PSK,0.75,1
Eutelsat 8 West B,-8,UUF4,Receive,13750.0 - 13755.0,-16.0 (G/T),Global,,,,,,Ku-Band,1,BPSK,0.5,1
Eutelsat 8 West B,-8,UUF5,Receive,14245.0 - 14500.0,-16.0 (G/T),Global,,,,,,Ku-Band,255,8PSK,0.75,1
Eutelsat 8 West B,-8,UDH1,Transmit,10950.0 - 11200.0,54.0 (EIRP),North America,South America,,,,,X-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UDH2,Transmit,11450.0 - 11700.0,54.0 (EIRP),North America,South America,,,,,X-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UDV1,Transmit,10950.0 - 11200.0,54.0 (EIRP),North America,South America,,,,,X-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UDV2,Transmit,11450.0 - 11700.0,54.0 (EIRP),North America,South America,,,,,X-Band,36,8PSK,0.75,1
Eutelsat 8 West B,-8,UDF2,Transmit,11195.0 - 11205.0,19.5 (EIRP),Global,,,,,,X-Band,0.4,BPSK,0.5,1
Eutelsat 8 West B,-8,UDF3,Transmit,12500.0 - 12505.0,19.5 (EIRP),Global,,,,,,Ku-Band,0.4,BPSK,0.5,1
Eutelsat 8 West B,-8,UDF4,Transmit,11195.0 - 11205.0,22.3 (EIRP),Global,,,,,,X-Band,0.4,BPSK,0.5,1
Eutelsat 8 West B,-8,UDF5,Transmit,12500.0 - 12505.0,22.3 (EIRP),Global,,,,,,Ku-Band,0.4,BPSK,0.5,1
GALAXY 12,-129,NCHU,Receive,5925.0 - 6425.0,3.1 (G/T),Global,,,,,,C-Band,36,QPSK,0.75,1
GALAXY 12,-129,NCVU,Receive,5925.0 - 6425.0,3.2 (G/T),Global,,,,,,C-Band,36,QPSK,0.75,1
GALAXY 12,-129,NCHD,Transmit,3700.0 - 4200.0,42.6 (EIRP),Global,,,,,,C-Band,36,QPSK,0.75,1
GALAXY 12,-129,NCVD,Transmit,3700.0 - 4200.0,42.2 (EIRP),Global,,,,,,C-Band,36,QPSK,0.75,1
GALAXY 16,-99,CHU,Receive,5925.0 - 6425.0,3.8 (G/T),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 16,-99,CVU,Receive,5925.0 - 6425.0,3.8 (G/T),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 16,-99,KHU,Receive,14000.0 - 14500.0,6.1 (G/T),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,Ku-Band,36,QPSK,0.75,1
GALAXY 16,-99,KVU,Receive,14000.0 - 14500.0,6.1 (G/T),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,Ku-Band,36,QPSK,0.75,1
GALAXY 16,-99,CHD,Transmit,3700.0 - 4200.0,43.7 (EIRP),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 16,-99,CVD,Transmit,3700.0 - 4200.0,43.7 (EIRP),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 16,-99,KHD,Transmit,11700.0 - 12200.0,51.9 (EIRP),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,"X-Band, Ku-Band",36,QPSK,0.75,1
GALAXY 16,-99,KVD,Transmit,11700.0 - 12200.0,51.9 (EIRP),Continental United States,Hawaii,Alaska,Puerto Rico,Canada,Mexico,"X-Band, Ku-Band",36,QPSK,0.75,1
GALAXY 18,-123,CHU,Receive,5925.0 - 6425.0,5.4 (G/T),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 18,-123,CVU,Receive,5925.0 - 6425.0,5.4 (G/T),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 18,-123,CHD,Transmit,3700.0 - 4200.0,46.5 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 18,-123,CVD,Transmit,3700.0 - 4200.0,46.5 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,C-Band,36,QPSK,0.75,1
GALAXY 18,-123,KHU,Receive,13750.0 - 14500.0,8.3 (G/T),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,Ku-Band,36,QPSK,0.75,1
GALAXY 18,-123,KVUL,Receive,13750.0 - 14500.0,8.3 (G/T),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,Ku-Band,36,QPSK,0.75,1
GALAXY 18,-123,KHD,Transmit,11700.0 - 12200.0,53.6 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,"X-Band, Ku-Band",36,QPSK,0.75,1
GALAXY 18,-123,KVDL,Transmit,11700.0 - 12200.0,53.6 (EIRP),Continental United States,Alaska,Hawaii,Puerto Rico,Canada,Mexico,"X-Band, Ku-Band",36,QPSK,0.75,1
GALAXY 28,-89,NCHU,Receive,5925.0 - 6425.0,3.3 (G/T),North America,,,,,,C-Band,36,QPSK,0.5,1
GALAXY 28,-89,NCVU,Receive,5925.0 - 6425.0,3.5 (G/T),North America,,,,,,C-Band,36,QPSK,0.5,1
GALAXY 28,-89,SCVU,Receive,5925.0 - 6425.0,3.2 (G/T),South America,,,,,,C-Band,36,QPSK,0.5,1
GALAXY 28,-89,NHKU,Receive,14000.0 - 14500.0,5.6 (G/T),North America,,,,,,Ku-Band,36,QPSK,0.5,1
GALAXY 28,-89,NKVU,Receive,14000.0 - 14500.0,5.9 (G/T),North America,,,,,,Ku-Band,36,QPSK,0.5,1
GALAXY 28,-89,SKVU,Receive,14000.0 - 14500.0,5.5 (G/T),South America,,,,,,Ku-Band,36,QPSK,0.5,1
GALAXY 28,-89,01LU,Receive,29509.0 - 29575.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,16LU,Receive,29592.0 - 29658.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,17RU,Receive,29675.0 - 29741.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,08RU,Receive,29758.0 - 29824.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,24RU,Receive,29841.0 - 29907.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,15LU,Receive,29924.0 - 29990.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,18LU,Receive,29506.0 - 29575.0,-0.1 (G/T),North America,,,,,,Ka-Band,69,QPSK,0.5,1
GALAXY 28,-89,02RU,Receive,29592.0 - 29658.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,03LU,Receive,29675.0 - 29741.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,22LU,Receive,29758.0 - 29824.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,09LU,Receive,29841.0 - 29907.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,10RU,Receive,29924.0 - 29990.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,04RU,Receive,29509.0 - 29575.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,05LU,Receive,29592.0 - 29658.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,20LU,Receive,29675.0 - 29741.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,11RU,Receive,29758.0 - 29824.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,12LU,Receive,29841.0 - 29907.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,23LU,Receive,29924.0 - 29990.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,21RU,Receive,29509.0 - 29575.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,19RU,Receive,29592.0 - 29658.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,06RU,Receive,29675.0 - 29741.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,14LU,Receive,29758.0 - 29824.0,-0.1 (G/T),North America,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,07RU,Receive,29841.0 - 29907.0,-0.1 (G/T),Global,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,13RU,Receive,29924.0 - 29990.0,-0.1 (G/T),Global,,,,,,Ka-Band,66,QPSK,0.5,1
GALAXY 28,-89,CMD1,Receive,5926.02 - 5926.98,-99.0 (G/T),North America,,,,,,C-Band,0.96,QPSK,0.5,1
GALAXY 28,-89,CMD2,Receive,6423.02 - 6423.98,-99.0 (G/T),North America,,,,,,C-Band,0.96,QPSK,0.5,1
GALAXY 28,-89,NCVD,Transmit,3700.0 - 4200.0,43.6 (EIRP),Global,,,,,,C-Band,36,QPSK,0.5,1
